Product ID,Product Position,Promotion,Seasonal,Sales Volume,price,terms,section
185102,,,,2823,19.99,1,
188771,,,,654,169.0,1,
180176,,,,2220,129.0,1,
112917,,,,1568,129.0,1,
192936,,,,2942,139.0,1,
117590,,,,2968,79.9,1,
189118,,,,952,69.99,1,
182157,,,,2421,159.0,1,
141861,,,,1916,169.0,1,
137121,,,,656,169.0,1,
113143,,,,2663,129.0,1,
140028,,,,1260,159.0,1,
134693,,,,2124,169.0,1,
151396,,,,729,439.0,1,
132889,,,,2265,99.9,1,
152174,,,,2226,99.9,1,
129906,,,,2089,69.9,1,
195879,,,,2339,129.0,1,
155050,,,,2321,129.0,1,
194410,,,,669,159.0,1,
141904,,,,1712,109.0,1,
124981,,,,1832,89.9,1,
161909,,,,1290,299.0,1,
129152,,,,2356,49.9,1,
183243,,,,1524,169.0,1,
198248,,,,1644,69.9,1,
191230,,,,966,89.9,1,
187234,,,,2575,59.9,1,
148888,,,,2774,109.0,1,
110805,,,,2477,159.0,1,
179801,,,,2608,129.0,1,
134927,,,,2252,129.0,1,
123150,,,,2074,129.0,1,
159145,,,,2579,109.0,1,
172364,,,,2931,109.0,1,
178281,,,,1145,109.0,1,
194339,,,,1792,89.9,1,
174412,,,,1796,69.9,1,
114877,,,,1860,349.0,1,
140727,,,,1002,79.9,1,
133109,,,,2063,79.9,1,
127296,,,,1165,89.9,1,
133757,,,,2071,129.0,1,
111760,,,,1474,109.0,1,
198375,,,,2202,69.9,1,
168837,,,,665,89.9,1,
138505,,,,2478,69.9,1,
116228,,,,647,89.9,1,
167592,,,,707,89.9,1,
133100,,,,2729,89.9,1,
119955,,,,1590,89.9,1,
189349,,,,1245,89.9,1,
127478,,,,2498,129.0,1,
180661,,,,1041,129.0,1,
186681,,,,1717,19.99,1,
133183,,,,2859,89.9,1,
173508,,,,1658,129.0,1,
187930,,,,706,89.9,1,
124088,,,,2065,79.9,1,
190238,,,,1917,89.9,1,
151925,,,,2179,299.0,1,
163234,,,,1633,89.9,1,
135610,,,,1513,109.0,1,
117065,,,,758,109.0,1,
149315,,,,718,109.0,1,
149510,,,,1412,59.9,1,
137990,,,,2929,29.99,1,
154016,,,,2366,189.0,1,
117751,,,,2749,89.9,1,
182362,,,,2019,69.9,1,
117725,,,,1506,109.0,1,
145289,,,,1012,109.0,1,
173576,,,,1838,129.0,1,
175059,,,,2170,49.9,1,
199368,,,,1061,139.0,1,
162883,,,,786,139.0,1,
135490,,,,1094,139.0,1,
125408,,,,2220,89.9,1,
134763,,,,2048,89.9,1,
143231,,,,2578,89.9,1,
125409,,,,2040,89.9,1,
183074,,,,2791,89.9,1,
147947,,,,1249,89.9,1,
174171,,,,2273,89.9,1,
183064,,,,1773,89.9,1,
177131,,,,1733,69.9,1,
128179,,,,2060,89.9,1,
152723,,,,2849,169.0,1,
123824,,,,2277,169.0,1,
166345,,,,1135,69.9,1,
199279,,,,1770,19.99,1,
167981,,,,730,139.0,1,
146839,,,,1525,109.0,1,
187180,,,,647,109.0,1,
167640,,,,1017,109.0,1,
165158,,,,1622,109.0,1,
111521,,,,2553,99.9,1,
120228,,,,2347,89.9,1,
133078,,,,2535,69.9,1,
137598,,,,2839,139.0,1,
138779,,,,2801,139.0,1,
198329,,,,628,109.0,1,
110295,,,,1448,129.0,1,
196427,,,,1401,169.0,1,
110075,,,,2185,159.0,1,
132322,,,,2135,12.99,1,
199631,,,,1269,89.9,1,
182306,,,,2805,89.9,1,
194915,,,,1796,79.9,1,
131298,,,,2133,69.9,1,
168571,,,,1778,89.9,1,
154224,,,,2474,89.9,1,
171061,,,,2032,59.9,1,
119049,,,,1659,89.9,1,
158781,,,,2443,69.9,1,
151438,,,,1137,69.9,1,
152871,,,,1847,69.9,1,
126806,,,,2404,109.0,1,
134104,,,,1466,59.9,1,
120266,,,,2328,59.9,1,
173550,,,,1431,59.9,1,
175927,,,,1506,109.0,1,
154278,,,,2749,89.9,1,
183537,,,,2434,19.99,1,
150424,,,,2067,79.9,1,
183825,,,,2989,19.99,1,
144012,,,,743,59.9,1,
147051,,,,2325,109.0,1,
185800,,,,1841,109.0,1,
197524,,,,2231,49.9,1,
148823,,,,2211,89.9,4,
114550,,,,2114,69.9,4,
125398,,,,1350,69.9,4,
123985,,,,2240,69.9,4,
186638,,,,1296,59.9,4,
167281,,,,892,59.9,4,
118578,,,,1678,49.9,4,
174041,,,,2016,49.9,4,
127644,,,,1498,45.9,4,
132007,,,,2491,9.99,4,
147998,,,,2556,9.99,4,
176666,,,,2852,45.9,4,
193686,,,,1899,99.9,4,
163610,,,,2466,89.9,4,
170364,,,,818,45.9,4,
167599,,,,1500,59.9,4,
166421,,,,2878,79.9,4,
129247,,,,2386,69.9,4,
127314,,,,2076,99.9,4,
111979,,,,2734,59.9,4,
120354,,,,2836,59.9,4,
144848,,,,2193,89.9,4,
111957,,,,2164,89.9,4,
160763,,,,991,45.9,4,
168270,,,,1525,69.9,4,
195082,,,,923,69.9,4,
110329,,,,2397,69.9,4,
147449,,,,1191,69.9,4,
193332,,,,1237,49.9,4,
146804,,,,1504,69.9,4,
188909,,,,2863,39.9,2,
165910,,,,2760,69.9,2,
136738,,,,542,7.99,2,
144497,,,,1105,49.9,2,
135036,,,,1435,49.9,2,
166331,,,,2877,59.9,2,
139789,,,,1094,69.9,2,
118569,,,,994,49.9,2,
155848,,,,1942,49.9,2,
